4FGL Name, NS, NS_BIN, HMXB, LMXB, AGN, CV, YSO, HM-STAR, LM-STAR, gamma-candidate, coverage (%)
J1725.1--3408,8/0,0/0,0/0,0/0,0/0,0/0,4/1,1/1,0/0,7N,52
J1728.0--3550,16/0,0/0,0/0,0/0,0/0,0/0,8/6,1/1,3/2,7N,100
J1727.7--3621,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,,41
J1729.1--3503,2/0,0/0,0/0,0/0,0/0,0/0,3/2,0/0,1/1,2N,100
J1730.1--3422,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/1,,61
J1731.6+0630,0/0,0/0,0/0,0/0,6/5,0/0,0/0,0/0,4/4,3A,7
J1733.6--2431,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,3N,63
J1733.9--2220,1/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,3/3,1N,18
J1737.1--2901,5/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/1,5N,94
J1737.3--3332,4/0,0/0,0/0,1/0,0/0,0/0,3/1,1/1,3/1,4N,100
J1738.8--3241,1/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,2/1,1N,94
J1739.1--3446,6/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,5N,35
J1739.5--2929,24/3,0/0,0/0,1/0,0/0,0/0,7/3,0/0,5/2,16N,100
J1739.7--2836,7/0,0/0,0/0,3/2,0/0,1/0,1/1,0/0,4/1,6N,100
J1740.6--2808,14/1,0/0,0/0,0/0,0/0,0/0,2/2,0/0,6/3,10N,100
J1740.4--2850,3/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,1/1,3N,100
J1741.1--3328,7/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,6N,82
J1741.3--3357,5/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/1,5N,90
J1741.5--2344,1/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,1/1,1N,41
J1742.0--3020,3/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,2/0,3N,100
J1742.5--2833,14/0,0/0,0/0,1/0,0/0,0/0,2/0,0/0,4/1,12N,100
J1743.4--3406,5/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,2/1,5N,63
J1743.4--3123,3/1,0/0,0/0,0/0,0/0,0/0,2/0,0/0,1/0,1N,100
J1744.9--2905,36/1,0/0,0/0,0/0,0/0,4/0,9/5,0/0,0/0,25N,100
J1745.6--3145,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,1N,33
